curator_name,curator_link
Обзоры онлайн,https://store.steampowered.com/curator/28776273-%25D0%259E%25D0%25B1%25D0%25B7%25D0%25BE%25D1%2580%25D1%258B-%25D0%25BE%25D0%25BD%25D0%25BB%25D0%25B0%25D0%25B9%25D0%25BD/?snr=1_1050_curatorsreviewing_
PawPlay Buddies,https://store.steampowered.com/curator/45796864-PawPlay-Buddies/?snr=1_1050_curatorsreviewing_
Gamophile,https://store.steampowered.com/curator/32366569-Gamophile/?snr=1_1050_curatorsreviewing_
Puzzle Lovers,https://store.steampowered.com/curator/25928931-Puzzle-Lovers/?snr=1_1050_curatorsreviewing_
Cherry Reviews,https://store.steampowered.com/curator/45521504-Cherry-Reviews/?snr=1_1050_curatorsreviewing_
Annie Logic,https://store.steampowered.com/curator/32594720-Annie-Logic/?snr=1_1050_curatorsreviewing_
Thor Reviews,https://store.steampowered.com/curator/45520846-Thor-Reviews/?snr=1_1050_curatorsreviewing_
Play It Again,https://store.steampowered.com/curator/43272636-Play-It-Again/?snr=1_1050_curatorsreviewing_
Indie Pulse,https://store.steampowered.com/curator/45193283-Indie-Pulse/?snr=1_1050_curatorsreviewing_
DigiPen Institute of Technology,https://store.steampowered.com/curator/40427995-DigiPen-Institute-of-Technology/?snr=1_1050_curatorsreviewing_
Linux игры,https://store.steampowered.com/curator/26105178-Linux-%25D0%25B8%25D0%25B3%25D1%2580%25D1%258B/?snr=1_1050_curatorsreviewing_
Microtransaction Check,https://store.steampowered.com/curator/30654888-Microtransaction-Check/?snr=1_1050_curatorsreviewing_
NyaNya Review,https://store.steampowered.com/curator/34147574-NyaNya-Review/?snr=1_1050_curatorsreviewing_
Extra Credits EDU,https://store.steampowered.com/curator/7389497-Extra-Credits-EDU/?snr=1_1050_curatorsreviewing_
VλlveTime,https://store.steampowered.com/curator/3421676-V%25CE%25BBlveTime/?snr=1_1050_curatorsreviewing_
The Linux Gamer,https://store.steampowered.com/curator/6856810-The-Linux-Gamer/?snr=1_1050_curatorsreviewing_
Average Achievement Hunter,https://store.steampowered.com/curator/30168383-Average-Achievement-Hunter/?snr=1_1050_curatorsreviewing_
AdventureGamers.com,https://store.steampowered.com/curator/6859083-AdventureGamers.com/?snr=1_1050_curatorsreviewing_
